accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status
ENCFF002BUR	ChIP-seq	mouse	y2014	single-ended	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	13.37	54.46	32.17	86.63	13.37	54.46	32.17	86.63									1.35304153536973	0.23162905350843602	1.58760516404275	0.348910867844949	2.2364498521581297	10.139058385902699	26.5827985323076	1.34373184864068	56.176774760225	1.0815	1.3362	1.3475	1.4744	2.2402	7.4245	2.0787	1.7748	1.6071	1.3730000000000002	1
ENCFF001KVV	ChIP-seq	mouse	y2011	single-ended	2.0	0.0	2.0	0.0	0.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	67.32	23.48	9.2	32.68	67.32	23.48	9.2	32.68									2.5915285916141	0.38897869931875295	1.15105526123976	0.5972619808697	1.93115046481987	12.794864381726502	23.2894506452099	1.2903179832151799	55.965391991986294	1.0625	1.1828	1.3076	1.5165	2.9369	8.2686	3.3068	2.3001	1.6828	1.2978	1
ENCFF001NQX	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	2.0	0.0	70.57	22.4	7.03	29.43	70.57	22.4	7.03	29.43									5.00707335708857	0.36988286038729296	1.6503161173143102	0.508839939316721	1.7724055739459499	11.200904425843198	26.2123854532822	1.99369271409079	51.284499558731	1.5845	1.7464	1.9555	2.1639	4.4974	4.7816	2.1962	1.9323	1.724	1.4866	1
ENCFF001NNH	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	2.0	0.0	78.3	13.23	8.48	21.7	78.3	13.23	8.48	21.7									6.37467159290545	0.520368387779285	1.1072918288185	0.5737395044745961	1.27820647633086	11.809471467102098	24.1812457708155	1.1856012351601297	52.9694037366135	1.08242186577213	1.23124896647847	1.3879505169576298	1.60654524265117	5.45778113754301	7.66168213996047	2.36579968974668	1.69458159111132	2.1659461545124503	1.25597473876513	1
ENCFF001NJF	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	2.0	0.0	61.08	27.96	10.97	38.92	61.08	27.96	10.97	38.92									6.73551714015658	0.5236415431033351	1.27294021044519	0.672734627423645	1.4779179826636397	11.642172562635698	23.6831035571512	1.2759664570822702	52.7160059193384	1.123	1.271	1.3598	1.5994	4.78	8.8718	2.2714	1.8071	1.5307	1.2591	1
ENCFF001MZI	ChIP-seq	mouse	y2010	single-ended	2.0	0.0	2.0	0.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	0.0	71.49	19.77	8.74	28.51	71.49	19.77	8.74	28.51									2.70345752108585	0.32396805004747803	1.08270325440632	0.545870930722632	1.14109874932084	11.1333296095626	23.103695165360797	1.05233759705077	58.91353912244271	1.0228	1.1267	1.2325	1.3805	3.1334	6.7116	2.1372	1.7995	1.2751	1.072	1
ENCFF001LRI	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	71.95	22.28	5.77	28.05	71.95	22.28	5.77	28.05									3.7256374595273702	0.3870531716801421	1.54630750271489	0.596422866620073	2.53559936587454	12.273195364587	27.033758857852202	1.534675852996	50.36734955814771	1.3033	1.4485	1.5106	1.6754	3.1419	4.1116	2.1705	1.7454	1.586	1.4861	1
ENCFF001OBW	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	0.0	1.0	2.0	2.0	0.0	2.0	0.0	62.38	27.16	10.47	37.62	62.38	27.16	10.47	37.62									5.7505744834683705	0.448207873394115	1.8102522893745199	0.752719356014605	1.7500347408933503	12.414582716556598	25.332757339391303	1.6955569921838	50.0453142087233	1.2033	1.3511	1.4757	1.8112	4.3595	7.9514	2.4058	2.0147	1.7097	1.4612	1
ENCFF001MZG	ChIP-seq	mouse	y2010	single-ended	2.0	0.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	0.0	2.0	2.0	62.07	26.21	11.71	37.93	62.07	26.21	11.71	37.93									3.4307286051010095	0.521311291198575	1.1430857026666201	0.734678370865428	1.44942464463345	11.740272735299099	23.638129432885	1.12569528238029	56.2166739349705	1.10209147810619	1.20961907353693	1.27121512820343	1.4322410211139098	2.9248833458339702	7.18589662748326	2.0922746068937097	1.64835821291791	1.38737148129219	1.18466205138757	1
ENCFF001NMC	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	0.0	2.0	0.0	57.79	30.16	12.05	42.21	57.79	30.16	12.05	42.21									2.65358832469546	0.24738720585580498	1.2530721698974199	0.40279841018674606	1.31842353940193	11.5030512433401	24.9035109216459	1.2878657231058401	56.430302461870795	1.1821	1.3071	1.4534	1.6347	2.8115	5.2785	2.0756	1.7403	1.5087	1.2721	1
ENCFF001NMT	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	0.0	2.0	0.0	54.36	33.47	12.17	45.64	54.36	33.47	12.17	45.64									5.36318905259008	0.32129055224767605	1.3823035778393	0.5030032370400239	1.1984791241589399	13.6796366148546	25.4725585689045	1.3899461700054399	50.6895931023595	1.3559	1.48	1.6485	2.0438	4.6681	5.3155	2.5215	1.9562	1.6888	1.4673	1
ENCFF001NLL	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	0.0	2.0	0.0	65.28	24.76	9.96	34.72	65.28	24.76	9.96	34.72									3.8070121442178704	0.543039856449994	1.22045668052681	0.807971692325023	1.4255424866578599	11.277405961268101	21.960374887600103	1.07471399632676	57.883482294627505	0.984	1.0595	1.1732	1.3714	3.4071	9.325	3.0497	3.6156	3.8022	3.8964	1
ENCFF001NST	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	1.0	0.0	2.0	2.0	1.0	2.0	2.0	0.0	2.0	2.0	58.62	29.13	12.25	41.38	58.62	29.13	12.25	41.38									3.93489147403228	0.29166007391275	1.3226492087183601	0.472864224878584	1.46323863619185	11.4601043485973	24.591660779379396	1.2690337424704	55.1938975118191	1.1522	1.29	1.4045	1.6278	3.6519	5.9911	2.1704	1.8127	1.5309	1.2852	1
ENCFF001MYQ	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	2.0	0.0	57.14	32.59	10.27	42.86	57.14	32.59	10.27	42.86									2.4235027022682996	0.208546802483274	1.4941835935145602	0.39147730697366	1.3112530890241698	14.972575492737	26.3669057521146	1.32722560424326	51.504329656641104	1.3363	1.5007	1.6669999999999998	2.0914	2.6387	3.4261	2.6118	2.1945	1.7987	1.5439	1
ENCFF001NRU	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	0.0	0.0	2.0	1.0	1.0	2.0	2.0	0.0	2.0	1.0	71.84	20.67	7.5	28.16	71.84	20.67	7.5	28.16									4.12342405060744	0.32414356481462897	1.38792198019324	0.556738202260755	1.46256956712448	13.229524227266701	25.300099395978304	1.37021581402087	52.2453631977336	1.2933	1.3973	1.557	1.829	3.7304	5.6835	2.3674	1.8982	1.6130000000000002	1.422	1
ENCFF001NHJ	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	0.0	2.0	1.0	56.11	33.96	9.93	43.89	56.11	33.96	9.93	43.89									19.159350430927	0.844854225176434	1.16955828981145	0.761968181415822	1.32859085678418	11.531621428054098	20.488746006582602	1.14591967296225	43.5693909082862	1.0647	1.1449	1.3167	1.6495	13.7301	13.0699	2.2134	1.6326	1.4132	1.2008	1
ENCFF001NUT	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	0.0	27.38	50.61	22.01	72.62	27.38	50.61	22.01	72.62									2.6948151929918396	0.24412677574372602	1.3753150349678702	0.47528748207035704	1.39962641512492	11.4852024732777	24.903666156127702	1.3066353860242	56.115325083671706	1.1676	1.3291	1.4451	1.6334	3.2272	6.4717	2.16	1.8908	1.5499	1.3259	1
