accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status	peak_type
ENCFF001NGE	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	1.86	75.66	22.48	98.14	1.86	75.66	22.48	98.14									4.572734952333019	0.3668312987857	1.68569629140789	0.529052697345094	1.99175734491283	11.666380393610401	26.884053385404897	1.95820815165039	50.3452854845498	1.5393	1.6688	1.8648	2.0658	4.2036	5.1409	2.2469	1.9212	1.7164	1.5204	0	narrow
ENCFF001NQH	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	5.33	69.31	25.36	94.67	5.33	69.31	25.36	94.67									3.43902162376751	0.298856022490663	1.45913845206556	0.49765452203291	1.51554739971968	13.1054087775158	25.652500627891307	1.4127555112655903	52.6191170632509	1.2890000000000001	1.4575	1.5972	1.9005	3.7447	5.7792	2.3346	1.9340000000000002	1.6205	1.4208	0	narrow
ENCFF001NKE	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	12.51	74.57	12.93	87.49	12.51	74.57	12.93	87.49									29.574429106722608	2.3555510617999302	2.5997154918777	2.78872018395923	3.459746905899089	14.303991222493998	21.322292042281802	2.19467683501232	21.4008771499534	1.1184	1.1834	1.3713	1.9069999999999998	15.7569	26.2618	3.1454	2.1631	1.9202	1.6697	0	narrow
ENCFF001KYC	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	3.62	72.73	23.65	96.38	3.62	72.73	23.65	96.38									6.07077811654139	0.837785894688119	1.44776164457995	1.09457542186132	2.09376037673197	15.5396906853423	24.606715569374398	1.4133486280073702	46.8955836628732	1.2375	1.4299	1.5190000000000001	1.9483	4.9761	9.5211	2.8239	1.9336	1.7393	1.4991	0	narrow
ENCFF155KRU	ChIP-seq	mouse	y2016	single-ended	2.0	2.0	0.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	2.0	0.0	1.83	83.68	14.49	98.17	1.83	83.68	14.49	98.17									7.443214455120961	1.2957251477555	1.39699745618372	1.4051032437160105	2.2662180797089104	15.4102028848598	25.3970334819061	1.155224830529	44.230280420220005	1.1139	1.187	1.3009	1.6165	4.8669	9.3815	2.4785	1.5893	1.3879	1.2533	0	narrow
ENCFF001KMI	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	15.26	73.93	10.81	84.74	15.26	73.93	10.81	84.74									13.1013852390719	1.93795266632483	1.69299208434816	2.31450695423664	2.5602687155492903	23.588822747083697	23.4963866811947	1.44903297654147	29.8586519356493	1.2663	1.4385	1.7	2.4232	8.3282	15.6838	4.3657	2.6689	2.1654	1.8864	0	narrow
ENCFF001NTN	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	27.04	53.82	19.14	72.96	27.04	53.82	19.14	72.96									2.56433204283775	0.206345215948514	1.3955452762833702	0.389964301875408	1.26753481824124	13.3326964653829	26.273115792649197	1.3424506008346295	53.228015485947	1.2687	1.4571	1.5865	1.838	2.7623	4.7643	2.3076	2.0041	1.6117	1.4064	0	narrow
ENCFF001LNH	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	20.58	64.36	15.06	79.42	20.58	64.36	15.06	79.42									18.378457001274	1.6467213032531205	1.67079617610769	1.5899447281044	3.1750744816378904	13.7072294836943	22.431863094222997	1.45191545707149	35.9479982746341	1.1724	1.2473	1.4223	1.6949	9.486	16.5986	2.7445	1.9195	1.7401	1.5219999999999998	0	narrow
ENCFF001KCS	ChIP-seq	mouse	y2011	single-ended	2.0	0.0	1.0	0.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	66.62	30.54	2.84	33.38	66.62	30.54	2.84	33.38									27.072046559380997	4.38045242493441	1.19790738958058	5.04720181402265	2.53891122616644	28.8265290806003	12.6334149216572	0.6749549196158211	17.6285816640416	0.6863	0.7547	0.9103	1.8026	15.9788	36.5855	7.4359	2.6658	1.5679	1.0785	0	narrow
ENCFF001OBF	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	0.0	12.49	61.81	25.7	87.51	12.49	61.81	25.7	87.51									2.8063025803457897	0.257025843807372	1.43825529081849	0.449089111707386	1.47124094659753	12.0011297839288	25.278612786733106	1.4142473823309902	54.8840962737305	1.2083	1.3787	1.505	1.7727	3.1323	6.1011	2.2383	1.8945	1.6214	1.3754	0	narrow
